id,category,super_category_red,in_degree,out_degree,keyword
31336,Neural_Networks,AI,3,2,word_119
1061127,Rule_Learning,AI,0,1,word_13
1106406,Reinforcement_Learning,AI,0,4,word_46
13195,Reinforcement_Learning,AI,3,0,word_42
37879,Probabilistic_Methods,Theory,1,0,word_45
1126012,Probabilistic_Methods,Theory,0,2,word_94
1107140,Theory,Theory,0,2,word_188
1102850,Neural_Networks,AI,0,1,word_4
31349,Neural_Networks,AI,1,4,word_457
1106418,Theory,Theory,0,4,word_13
1123188,Neural_Networks,AI,0,5,word_119
1128990,Genetic_Algorithms,Systems,0,2,word_64
109323,Probabilistic_Methods,Theory,1,1,word_3
217139,Case_Based,Systems,1,2,word_26
31353,Neural_Networks,AI,19,1,word_94
32083,Neural_Networks,AI,10,0,word_20
1126029,Reinforcement_Learning,AI,0,4,word_626
1118017,Neural_Networks,AI,0,1,word_20
49482,Neural_Networks,AI,4,3,word_89
753265,Neural_Networks,AI,1,2,word_136
249858,Theory,Theory,1,5,word_90
1113739,Reinforcement_Learning,AI,0,4,word_20
48766,Genetic_Algorithms,Systems,2,3,word_20
646195,Probabilistic_Methods,Theory,0,2,word_127
1126050,Reinforcement_Learning,AI,0,2,word_4
59626,Theory,Theory,5,0,word_263
340299,Neural_Networks,AI,1,2,word_20
354004,Probabilistic_Methods,Theory,1,1,word_65
242637,Neural_Networks,AI,1,3,word_20
1106492,Rule_Learning,AI,0,4,word_82
74975,Case_Based,Systems,5,0,word_5
1152272,Neural_Networks,AI,0,3,word_11
100701,Case_Based,Systems,1,0,word_41
66982,Neural_Networks,AI,1,3,word_20
13960,Reinforcement_Learning,AI,0,5,word_58
13966,Reinforcement_Learning,AI,1,0,word_185
66990,Neural_Networks,AI,5,4,word_6
182093,Reinforcement_Learning,AI,1,0,word_20
182094,Genetic_Algorithms,Systems,3,2,word_141
13972,Reinforcement_Learning,AI,2,0,word_187
13982,Theory,Theory,1,1,word_53
16819,Probabilistic_Methods,Theory,12,3,word_42
273152,Genetic_Algorithms,Systems,1,4,word_141
237521,Neural_Networks,AI,1,1,word_2
1153703,Case_Based,Systems,0,3,word_53
32872,Reinforcement_Learning,AI,1,3,word_88
284025,Neural_Networks,AI,2,3,word_20
218666,Case_Based,Systems,0,1,word_131
16843,Probabilistic_Methods,Theory,3,1,word_549
1153724,Case_Based,Systems,0,2,word_285
1153728,Case_Based,Systems,0,4,word_1
158098,Probabilistic_Methods,Theory,0,3,word_403
8699,Theory,Theory,2,3,word_245
1134865,Genetic_Algorithms,Systems,0,4,word_496
28456,Theory,Theory,0,5,word_508
248425,Genetic_Algorithms,Systems,4,2,word_479
1112319,Theory,Theory,0,3,word_258
28471,Reinforcement_Learning,AI,1,4,word_39
175548,Neural_Networks,AI,4,0,word_20
696345,Neural_Networks,AI,4,4,word_20
28485,Reinforcement_Learning,AI,2,3,word_20
35778,Probabilistic_Methods,Theory,7,1,word_20
28491,Reinforcement_Learning,AI,4,0,word_35
310530,Case_Based,Systems,1,4,word_28
1153784,Genetic_Algorithms,Systems,0,2,word_58
1481,Case_Based,Systems,16,0,word_5
1153786,Probabilistic_Methods,Theory,0,1,word_59
13212,Neural_Networks,AI,7,0,word_13
1111614,Case_Based,Systems,0,1,word_5
5055,Theory,Theory,6,0,word_50
4329,Probabilistic_Methods,Theory,7,1,word_27
330148,Neural_Networks,AI,2,3,word_89
1105062,Reinforcement_Learning,AI,0,1,word_115
4330,Probabilistic_Methods,Theory,38,2,word_78
5062,Case_Based,Systems,5,2,word_41
4335,Probabilistic_Methods,Theory,16,0,word_48
158812,Neural_Networks,AI,1,0,word_20
40124,Theory,Theory,2,4,word_20
1103610,Theory,Theory,0,2,word_67
688361,Neural_Networks,AI,0,2,word_20
20534,Reinforcement_Learning,AI,7,3,word_153
1031453,Neural_Networks,AI,0,2,word_20
5086,Probabilistic_Methods,Theory,11,3,word_130
193742,Reinforcement_Learning,AI,2,4,word_2
424,Rule_Learning,AI,3,2,word_205
40151,Theory,Theory,9,1,word_133
636098,Theory,Theory,0,3,word_360
260121,Neural_Networks,AI,1,0,word_20
950052,Neural_Networks,AI,0,2,word_1
434,Reinforcement_Learning,AI,1,5,word_88
1131270,Probabilistic_Methods,Theory,0,2,word_173
1131274,Probabilistic_Methods,Theory,0,2,word_337
1131277,Probabilistic_Methods,Theory,0,4,word_89
1110947,Case_Based,Systems,0,4,word_2
662279,Neural_Networks,AI,0,1,word_9
1139928,Theory,Theory,0,3,word_3
153063,Probabilistic_Methods,Theory,9,3,word_17
134199,Genetic_Algorithms,Systems,3,0,word_63
641956,Neural_Networks,AI,2,2,word_161
20584,Neural_Networks,AI,8,0,word_162
1130567,Reinforcement_Learning,AI,0,5,word_60
171225,Neural_Networks,AI,0,2,word_20
714879,Probabilistic_Methods,Theory,0,3,word_96
37998,Rule_Learning,AI,0,1,word_174
50336,Probabilistic_Methods,Theory,5,2,word_20
50337,Probabilistic_Methods,Theory,3,3,word_20
15429,Theory,Theory,19,1,word_3
23448,Neural_Networks,AI,0,3,word_86
