id,category,keywords
31336,Neural_Networks,"['word_119', 'word_126', 'word_177', 'word_253', 'word_352', 'word_457', 'word_508', 'word_522', 'word_620', 'word_649', 'word_699', 'word_703', 'word_735', 'word_846', 'word_903', 'word_1206', 'word_1210', 'word_1237', 'word_1353', 'word_1427']"
1061127,Rule_Learning,"['word_13', 'word_510', 'word_621', 'word_764', 'word_883', 'word_894', 'word_979', 'word_1132', 'word_1136', 'word_1178', 'word_1208', 'word_1257', 'word_1264', 'word_1267', 'word_1333', 'word_1390', 'word_1426']"
1106406,Reinforcement_Learning,"['word_46', 'word_210', 'word_213', 'word_240', 'word_293', 'word_395', 'word_511', 'word_515', 'word_582', 'word_622', 'word_624', 'word_639', 'word_1076', 'word_1133', 'word_1178', 'word_1207', 'word_1264', 'word_1290', 'word_1350', 'word_1390', 'word_1416', 'word_1422']"
13195,Reinforcement_Learning,"['word_42', 'word_94', 'word_100', 'word_150', 'word_595', 'word_618', 'word_625', 'word_649', 'word_875', 'word_916', 'word_943', 'word_989', 'word_1005', 'word_1050', 'word_1072', 'word_1171', 'word_1178', 'word_1195', 'word_1293', 'word_1349', 'word_1350']"
37879,Probabilistic_Methods,"['word_45', 'word_123', 'word_136', 'word_154', 'word_365', 'word_397', 'word_403', 'word_475', 'word_508', 'word_620', 'word_662', 'word_700', 'word_702', 'word_829', 'word_1067', 'word_1175', 'word_1176', 'word_1178', 'word_1209', 'word_1210', 'word_1213', 'word_1255', 'word_1382']"
1126012,Probabilistic_Methods,"['word_94', 'word_169', 'word_212', 'word_508', 'word_527', 'word_552', 'word_875', 'word_973', 'word_1144', 'word_1178', 'word_1199', 'word_1291', 'word_1427']"
1107140,Theory,"['word_188', 'word_267', 'word_318', 'word_325', 'word_368', 'word_510', 'word_620', 'word_702', 'word_917', 'word_938', 'word_1172', 'word_1175', 'word_1178', 'word_1204', 'word_1264', 'word_1291', 'word_1331', 'word_1356', 'word_1398']"
1102850,Neural_Networks,"['word_4', 'word_90', 'word_100', 'word_133', 'word_204', 'word_239', 'word_439', 'word_508', 'word_522', 'word_537', 'word_639', 'word_737', 'word_808', 'word_820', 'word_922', 'word_1047', 'word_1178', 'word_1193', 'word_1199']"
31349,Neural_Networks,"['word_457', 'word_649', 'word_903', 'word_1210', 'word_1274']"
1106418,Theory,"['word_13', 'word_22', 'word_97', 'word_162', 'word_204', 'word_435', 'word_471', 'word_522', 'word_548', 'word_870', 'word_927', 'word_1197', 'word_1210', 'word_1231', 'word_1264', 'word_1333', 'word_1337', 'word_1370']"
1123188,Neural_Networks,"['word_119', 'word_172', 'word_534', 'word_821', 'word_1210', 'word_1242', 'word_1274']"
1128990,Genetic_Algorithms,"['word_64', 'word_93', 'word_141', 'word_169', 'word_188', 'word_235', 'word_376', 'word_399', 'word_496', 'word_809', 'word_938', 'word_988', 'word_1080', 'word_1133', 'word_1178', 'word_1263', 'word_1264', 'word_1361', 'word_1391', 'word_1424', 'word_1427']"
