Community,AI,Systems,Theory
0,12,0,0
1,33,6,10
2,119,8,4
3,1,0,7
4,0,1,7
5,0,0,7
6,0,0,2
7,15,0,3
8,1,1,1
9,0,0,7
10,0,3,0
11,22,234,17
12,2,0,0
13,3,0,0
14,1,0,6
15,0,0,4
16,0,0,3
17,3,0,0
18,1,0,15
19,5,0,0
20,0,0,2
21,2,0,0
22,5,1,1
23,0,7,0
24,29,0,1
25,0,2,0
26,5,0,2
27,17,0,1
28,0,0,3
29,0,0,24
30,15,0,1
31,1,4,3
32,6,0,0
33,8,0,0
34,1,3,0
35,0,0,5
36,0,6,0
37,0,0,7
38,0,6,0
39,5,0,1
40,8,0,0
41,18,0,1
42,0,0,4
43,0,9,0
44,0,9,0
45,0,8,0
46,0,0,12
47,5,0,1
48,0,0,4
49,24,0,12
50,21,0,0
51,19,0,0
52,9,0,11
53,0,11,0
54,1,0,4
55,7,0,0
56,7,0,2
57,1,0,2
58,7,0,0
59,8,13,17
60,2,0,0
61,0,0,2
62,0,0,4
63,2,10,0
64,2,0,29
65,0,0,5
66,0,3,0
67,3,0,2
68,11,2,8
69,0,0,10
70,2,0,0
71,1,0,17
72,50,5,3
73,7,0,0
74,10,0,0
75,0,0,2
76,0,0,4
77,5,0,0
78,3,0,0
79,3,0,0
80,1,0,1
81,3,3,2
82,0,0,2
83,5,0,1
84,2,2,0
85,6,2,12
86,4,0,0
87,2,0,2
88,0,0,8
89,0,2,0
90,12,0,1
91,2,0,3
92,0,0,5
93,0,0,4
94,5,0,0
95,15,0,0
96,4,0,0
97,5,0,0
98,0,10,0
99,0,3,22
100,6,0,0
101,0,6,0
102,3,0,2
103,11,0,0
104,2,0,0
105,0,2,0
106,1,1,0
107,2,0,0
108,2,0,0
109,0,2,0
110,0,0,4
111,0,0,5
112,2,0,0
113,2,0,0
114,0,0,5
115,2,0,0
116,18,0,0
117,2,0,4
118,0,3,0
119,0,2,0
120,3,0,0
121,1,0,4
122,8,0,0
123,0,0,2
124,0,0,3
125,4,0,0
126,2,0,0
127,3,0,0
128,8,0,0
129,3,0,0
130,2,0,0
131,2,0,0
132,0,0,2
133,2,0,1
134,1,0,3
135,3,0,0
136,0,0,19
137,1,0,19
138,0,6,0
139,2,0,0
140,3,0,1
141,2,0,0
142,0,0,2
143,2,2,0
144,2,0,0
145,0,2,0
146,6,0,0
147,0,0,3
148,4,0,0
149,2,0,1
150,6,0,0
151,0,1,2
152,1,0,3
153,4,1,0
154,1,0,1
155,2,0,9
156,2,0,0
157,0,0,4
158,6,0,0
159,3,0,0
160,7,0,0
161,7,0,0
162,0,0,2
163,0,6,0
164,0,12,0
165,2,1,0
166,0,7,0
167,0,6,2
168,0,7,0
169,4,0,0
170,2,0,2
171,0,0,12
172,1,0,1
173,2,0,0
174,1,0,1
175,0,0,2
176,2,0,0
177,7,0,0
178,2,0,8
179,2,0,0
180,3,0,0
181,3,0,0
182,3,0,0
183,3,0,0
184,0,0,9
185,0,0,3
186,2,2,0
187,0,4,0
188,4,0,1
189,3,8,0
190,2,0,0
191,0,0,3
192,0,3,0
193,2,0,3
194,0,0,2
195,2,0,0
196,0,6,0
197,0,2,0
198,2,0,0
199,0,5,0
200,3,14,0
201,0,2,0
202,1,4,1
203,0,5,0
